"”NŒŽ“ú","—j","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
#2021-06-14#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-06-15#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-06-16#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-06-17#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-06-18#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-06-19#,"“y",,,,,,,,,,,,,,,,,
#2021-06-20#,"“ú",,,,,,,,,,,,,,,,,
#2021-06-21#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-06-22#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-06-23#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-06-24#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-06-25#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-06-26#,"“y",,,,,,,,,,,,,,,,,
#2021-06-27#,"“ú",,,,,,,,,,,,,,,,,
#2021-06-28#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-06-29#,"‰Î",,,,,,,,,,,,,,,,,
#2021-06-30#,"…",,,,,,,,,,,,,,,,,
#2021-07-01#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-07-02#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-07-03#,"“y",,,,,,,,,,,,,,,,,
#2021-07-04#,"“ú",,,,,,,,,,,,,,,,,
#2021-07-05#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-07-06#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-07-07#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-07-08#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-07-09#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-07-10#,"“y",,,,,,,,,,,,,,,,,
#2021-07-11#,"“ú",,,,,,,,,,,,,,,,,
#2021-07-12#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-07-13#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-07-14#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-07-15#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-07-16#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-07-17#,"“y",,,,,,,,,,,,,,,,,
#2021-07-18#,"“ú",,,,,,,,,,,,,,,,,
#2021-07-19#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-07-20#,"‰Î",,"‘åŒ^",,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-07-21#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-07-22#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-07-23#,"‹à",,,,,,,,,,,,,,,,,
#2021-07-24#,"“y",,,,,,,,,,,,,,,,,
#2021-07-25#,"“ú",,,,,,,,,,,,,,,,,
#2021-07-26#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-07-27#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-07-28#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-07-29#,"–Ø",,,,,,,,,,,,,,,,,
#2021-07-30#,"‹à",,,,,,,,,,,,,,,,,
#2021-07-31#,"“y",,,,,,,,,,,,,,,,,
#2021-08-01#,"“ú",,,,,,,,,,,,,,,,,
#2021-08-02#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-08-03#,"‰Î",,"‘åŒ^",,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-08-04#,"…",,,,,,,,,"‘åŒ^","‘åŒ^","‘åŒ^",,,,,,
#2021-08-05#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2021-08-06#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-08-07#,"“y",,,,,,,,,,,,,,,,,
#2021-08-08#,"“ú",,,,,,,,,,,,,,,,,
#2021-08-09#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,"‘åŒ^",
#2021-08-10#,"‰Î",,,"‘åŒ^",,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-08-11#,"…",,,,,,,,,,,,,,,,,
#2021-08-12#,"–Ø",,,,,,,,,,,,,,,,,
#2021-08-13#,"‹à",,,,,,,,,,,,,,,,,
#2021-08-14#,"“y",,,,,,,,,,,,,,,,,
#2021-08-15#,"“ú",,,,,,,,,,,,,,,,,
#2021-08-16#,"ŒŽ",,,,,,,,,,,,,,,,,
#2021-08-17#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-08-18#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,"‘åŒ^",,,
#2021-08-19#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,"‘åŒ^",,
#2021-08-20#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-08-21#,"“y",,,,,,,,,,,,,,,,,
#2021-08-22#,"“ú",,,,,,,,,,,,,,,,,
#2021-08-23#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-08-24#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-08-25#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-08-26#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-08-27#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-08-28#,"“y",,,,,,,,,,,,,,,,,
#2021-08-29#,"“ú",,,,,,,,,,,,,,,,,
#2021-08-30#,"ŒŽ",,,,,,,,,,,,,,,,,
#2021-08-31#,"‰Î",,,,,,,,,,,,,,,,,
#2021-09-01#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-09-02#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-09-03#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-09-04#,"“y",,,,,,,,,,,,,,,,,
#2021-09-05#,"“ú",,,,,,,,,,,,,,,,,
#2021-09-06#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-09-07#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-09-08#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-09-09#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-09-10#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-09-11#,"“y",,,,,,,,,,,,,,,,,
#2021-09-12#,"“ú",,,,,,,,,,,,,,,,,
#2021-09-13#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-09-14#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-09-15#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-09-16#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-09-17#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-09-18#,"“y",,,,,,,,,,,,,,,,,
#2021-09-19#,"“ú",,,,,,,,,,,,,,,,,
#2021-09-20#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-09-21#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-09-22#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-09-23#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-09-24#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-09-25#,"“y",,,,,,,,,,,,,,,,,
#2021-09-26#,"“ú",,,,,,,,,,,,,,,,,
#2021-09-27#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-09-28#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-09-29#,"…",,,,,,,,,,,,,,,,,
#2021-09-30#,"–Ø",,,,,,,,,,,,,,,,,
#2021-10-01#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-10-02#,"“y",,,,,,,,,,,,,,,,,
#2021-10-03#,"“ú",,,,,,,,,,,,,,,,,
#2021-10-04#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-10-05#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-10-06#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-10-07#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-10-08#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-10-09#,"“y",,,,,,,,,,,,,,,,,
#2021-10-10#,"“ú",,,,,,,,,,,,,,,,,
#2021-10-11#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-10-12#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-10-13#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-10-14#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-10-15#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-10-16#,"“y",,,,,,,,,,,,,,,,,
#2021-10-17#,"“ú",,,,,,,,,,,,,,,,,
#2021-10-18#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-10-19#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-10-20#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-10-21#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-10-22#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-10-23#,"“y",,,,,,,,,,,,,,,,,
#2021-10-24#,"“ú",,,,,,,,,,,,,,,,,
#2021-10-25#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-10-26#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-10-27#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-10-28#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-10-29#,"‹à",,,,,,,,,,,,,,,,,
#2021-10-30#,"“y",,,,,,,,,,,,,,,,,
#2021-10-31#,"“ú",,,,,,,,,,,,,,,,,
#2021-11-01#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-11-02#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-11-03#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-11-04#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-11-05#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-11-06#,"“y",,,,,,,,,,,,,,,,,
#2021-11-07#,"“ú",,,,,,,,,,,,,,,,,
#2021-11-08#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-11-09#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-11-10#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-11-11#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-11-12#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-11-13#,"“y",,,,,,,,,,,,,,,,,
#2021-11-14#,"“ú",,,,,,,,,,,,,,,,,
#2021-11-15#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-11-16#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-11-17#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-11-18#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-11-19#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-11-20#,"“y",,,,,,,,,,,,,,,,,
#2021-11-21#,"“ú",,,,,,,,,,,,,,,,,
#2021-11-22#,"ŒŽ",,,,,,,,,,,,,,,,,
#2021-11-23#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-11-24#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-11-25#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,"‘åŒ^",
#2021-11-26#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-11-27#,"“y",,,,,,,,,,,,,,,,,
#2021-11-28#,"“ú",,,,,,,,,,,,,,,,,
#2021-11-29#,"ŒŽ",,,,,,,,,,,,,,,,,
#2021-11-30#,"‰Î",,,,,,,,,,,,,,,,,
#2021-12-01#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-12-02#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2021-12-03#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-12-04#,"“y",,,,,,,,,,,,,,,,,
#2021-12-05#,"“ú",,,,,,,,,,,,,,,,,
#2021-12-06#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2021-12-07#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-12-08#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-12-09#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2021-12-10#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2021-12-11#,"“y",,,,,,,,,,,,,,,,,
#2021-12-12#,"“ú",,,,,,,,,,,,,,,,,
#2021-12-13#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2021-12-14#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-12-15#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2021-12-16#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,"‘åŒ^",,
#2021-12-17#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2021-12-18#,"“y",,,,,,,,,,,,,,,,,
#2021-12-19#,"“ú",,,,,,,,,,,,,,,,,
#2021-12-20#,"ŒŽ",,,,,,,,,,,,,,,,,
#2021-12-21#,"‰Î",,"‘åŒ^",,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2021-12-22#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2021-12-23#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,"‘åŒ^",
#2021-12-24#,"‹à",,,,,,,,,,,,,,,,,
#2021-12-25#,"“y",,,,,,,,,,,,,,,,,
#2021-12-26#,"“ú",,,,,,,,,,,,,,,,,
#2021-12-27#,"ŒŽ",,,,,,,,,,,,,,,,,
#2021-12-28#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2021-12-29#,"…",,,,,,,,,,,,,,"‘åŒ^",,,
#2021-12-30#,"–Ø",,,,,,,,,,,,,,,,,
#2021-12-31#,"‹à",,,,,,,,,,,,,,,,,
#2022-01-01#,"“y",,,,,,,,,,,,,,,,,
#2022-01-02#,"“ú",,,,,,,,,,,,,,,,,
#2022-01-03#,"ŒŽ",,,,,,,,,,,,,,,,,
#2022-01-04#,"‰Î",,,,,,,,,,,,,,,,,
#2022-01-05#,"…",,,,,,"‘åŒ^",,,,"‘åŒ^","‘åŒ^",,,,,,
#2022-01-06#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,"‘åŒ^",,
#2022-01-07#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2022-01-08#,"“y",,,,,,,,,,,,,,,,,
#2022-01-09#,"“ú",,,,,,,,,,,,,,,,,
#2022-01-10#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",
#2022-01-11#,"‰Î",,,,,"‘åŒ^",,"‘åŒ^","‘åŒ^",,,,,,,,,
#2022-01-12#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2022-01-13#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2022-01-14#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2022-01-15#,"“y",,,,,,,,,,,,,,,,,
#2022-01-16#,"“ú",,,,,,,,,,,,,,,,,
#2022-01-17#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2022-01-18#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2022-01-19#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2022-01-20#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2022-01-21#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2022-01-22#,"“y",,,,,,,,,,,,,,,,,
#2022-01-23#,"“ú",,,,,,,,,,,,,,,,,
#2022-01-24#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2022-01-25#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2022-01-26#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2022-01-27#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2022-01-28#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2022-01-29#,"“y",,,,,,,,,,,,,,,,,
#2022-01-30#,"“ú",,,,,,,,,,,,,,,,,
#2022-01-31#,"ŒŽ",,,,,,,,,,,,,,,,,
#2022-02-01#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2022-02-02#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2022-02-03#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2022-02-04#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2022-02-05#,"“y",,,,,,,,,,,,,,,,,
#2022-02-06#,"“ú",,,,,,,,,,,,,,,,,
#2022-02-07#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2022-02-08#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2022-02-09#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2022-02-10#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2022-02-11#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2022-02-12#,"“y",,,,,,,,,,,,,,,,,
#2022-02-13#,"“ú",,,,,,,,,,,,,,,,,
#2022-02-14#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2022-02-15#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2022-02-16#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2022-02-17#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2022-02-18#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2022-02-19#,"“y",,,,,,,,,,,,,,,,,
#2022-02-20#,"“ú",,,,,,,,,,,,,,,,,
#2022-02-21#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2022-02-22#,"‰Î",,,"‘åŒ^",,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2022-02-23#,"…",,,,,,,,,,,,,,,,,
#2022-02-24#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2022-02-25#,"‹à",,"‘åŒ^",,,,,,,"‘åŒ^",,,,,,,,
#2022-02-26#,"“y",,,,,,,,,,,,,,,,,
#2022-02-27#,"“ú",,,,,,,,,,,,,,,,,
#2022-02-28#,"ŒŽ",,,,,,,,,,,,,,,,"‘åŒ^",
#2022-03-01#,"‰Î",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,
#2022-03-02#,"…",,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,
#2022-03-03#,"–Ø",,,,,,,,,,,,"‘åŒ^",,,,,
#2022-03-04#,"‹à","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,
#2022-03-05#,"“y",,,,,,,,,,,,,,,,,
#2022-03-06#,"“ú",,,,,,,,,,,,,,,,,
#2022-03-07#,"ŒŽ",,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2022-03-08#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,
#2022-03-09#,"…",,,"‘åŒ^",,,,,,"‘åŒ^",,,,,,,,"‘åŒ^"
#2022-03-10#,"–Ø",,,,,,,,,,,,,"‘åŒ^",,,,
#2022-03-11#,"‹à",,"‘åŒ^",,,,,,,,,,,,,,,
#2022-03-12#,"“y",,,,,,,,,,,,,,,,,
#2022-03-13#,"“ú",,,,,,,,,,,,,,,,,
